Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Carbón y Leña,Carbón y Leña,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Carbón,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Biogás,Millones m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Geotermia,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Diésel,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Nafta,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Electricidad,Gwh,,0.0,,,,,
Carbón y Leña,Carbón y Leña,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Metanol,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Carbón,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Biogás,Millones m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Geotermia,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Diésel,Mil m3,,154.6432285,,,,0.04570348927855546,0.04554748453395738
Electricidad,Electricidad,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Nafta,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Electricidad,Gwh,,1843.121963,,,,,
Electricidad,Electricidad,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Metanol,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Carbón,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Biogás,Millones m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Geotermia,Gwh,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Diésel,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Nafta,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Electricidad,Gwh,,0.0,,,,,
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Coque,Mil m3,,148.174,,,,0.06305121074483296,0.0630189356264
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Altos Hornos,Mil m3,,289.76,,,,0.2837510599500288,0.28369126656
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Siderurgia Hornos de Coque,Siderurgia Hornos de Coque,Metanol,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Carbón,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Biogás,Millones m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Geotermia,Gwh,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Diésel,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Petróleo Combustible,Mil ton,,57.292767,,,,0.01768388945329277,0.017626092267021838
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Nafta,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Electricidad,Gwh,,0.0,,,,,
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Coque,Mil m3,,141.563,,,,0.06023808864355951,0.060207253526799995
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Alquitrán,Mil m3,,145.48,,,,0.04666509005279999,0.04666509005279999
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Altos Hornos,Mil m3,,273.977,,,,0.26829536220295774,0.268238825712
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Metanol,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Carbón,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Biogás,Millones m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Geotermia,Gwh,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Diésel,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Nafta,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Electricidad,Gwh,,3.982161042,,,,,
Plantas de Gas,Plantas de Gas,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Plantas de Gas,Plantas de Gas,Metanol,Mil ton,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Natural,Millones m3,,3214.884318,,,,0.6798082336266457,0.6791448265589909
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Carbón,Mil ton,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Biogás,Millones m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Geotermia,Gwh,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Diésel,Mil m3,,27.59713112,,,,0.008156097091970694,0.008128256989085002
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Licuado,Mil ton,,27.1365611,,,,0.0064535006773813,0.006447900915571897
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Nafta,Mil m3,,99.48674426,,,,0.029086108131937984,0.0289857454825047
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas de Refinería,Mil m3,,1.40691332,,,,0.0003224171186144792,0.0003221106661057536
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,D.i. de Petróleo,Mil ton,,2366.560324,,,,0.0023873960890669734,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Electricidad,Gwh,,496.208304,,,,,
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Metanol,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gas Natural,Millones m3,,1132.6,,,,0.23949564875308796,0.23926193121599998
Producción de Metanol,Producción de Metanol,Carbón,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Biogás,Millones m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Geotermia,Gwh,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Diésel,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Nafta,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Electricidad,Gwh,,50.51296,,,,,
Producción de Metanol,Producción de Metanol,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Producción de Metanol,Producción de Metanol,Metanol,Mil ton,,0.0,,,,0.0,0.0
Cobre,Cobre,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Gas Natural,Millones m3,,1527.476239,,,,0.32299480206094994,0.32267959988494826
Cobre,Cobre,Carbón,Mil ton,,18.62892192,,,,0.007463268505928911,0.007004774194984473
Cobre,Cobre,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Cobre,Cobre,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Cobre,Cobre,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Cobre,Cobre,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Cobre,Cobre,Biogás,Millones m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Geotermia,Gwh,,0.0,,,,0.0,0.0
Cobre,Cobre,Diésel,Mil m3,,18444.15051,,,,5.451011617271353,5.432405080033667
Cobre,Cobre,Petróleo Combustible,Mil ton,,585.4872555,,,,0.1807155151465067,0.18012487312069234
Cobre,Cobre,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Kerosene,Mil m3,,121.7012769,,,,0.03490355189100056,0.034780779126850424
Cobre,Cobre,Gas Licuado,Mil ton,,60.76719668,,,,0.014451394319707765,0.014438854712128926
Cobre,Cobre,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Kerosene de Aviación,Mil m3,,0.063988947,,,,1.8340311434982316e-05,1.8185543557295402e-05
Cobre,Cobre,Nafta,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Coque de Petróleo,Mil ton,,12.330787,,,,0.004791149536549137,0.004778710186341
Cobre,Cobre,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Cobre,Cobre,Electricidad,Gwh,,22732.21623,,,,,
Cobre,Cobre,Coque Mineral,Mil ton,,0.189,,,,8.09059927284e-05,8.03823804e-05
Cobre,Cobre,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Cobre,Cobre,Metanol,Mil ton,,0.0,,,,0.0,0.0
Salitre,Salitre,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Gas Natural,Millones m3,,709.2273563,,,,0.14997074502075403,0.14982439249475202
Salitre,Salitre,Carbón,Mil ton,,0.0,,,,0.0,0.0
Salitre,Salitre,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Salitre,Salitre,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Salitre,Salitre,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Salitre,Salitre,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Salitre,Salitre,Biogás,Millones m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Geotermia,Gwh,,0.0,,,,0.0,0.0
Salitre,Salitre,Diésel,Mil m3,,675.8592154,,,,0.19974443565659786,0.19906262601445926
Salitre,Salitre,Petróleo Combustible,Mil ton,,5.10662555,,,,0.0015762024847841686,0.0015710508992772363
Salitre,Salitre,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Gas Licuado,Mil ton,,55.406868,,,,0.013176623922681797,0.013165190445084482
Salitre,Salitre,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Kerosene de Aviación,Mil m3,,97.327575,,,,0.027895724502414437,0.027660321625365
Salitre,Salitre,Nafta,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Salitre,Salitre,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Salitre,Salitre,Electricidad,Gwh,,214.7757129,,,,,
Salitre,Salitre,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Salitre,Salitre,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Salitre,Salitre,Metanol,Mil ton,,0.0,,,,0.0,0.0
Hierro,Hierro,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Carbón,Mil ton,,74.865,,,,0.029993018334384003,0.0281504438292
Hierro,Hierro,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Hierro,Hierro,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Hierro,Hierro,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Hierro,Hierro,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Hierro,Hierro,Biogás,Millones m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Geotermia,Gwh,,0.0,,,,0.0,0.0
Hierro,Hierro,Diésel,Mil m3,,589.251987,,,,0.1741484068293492,0.17355396692643518
Hierro,Hierro,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Hierro,Hierro,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Hierro,Hierro,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Nafta,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Hierro,Hierro,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Hierro,Hierro,Electricidad,Gwh,,563.41954,,,,,
Hierro,Hierro,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Hierro,Hierro,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Hierro,Hierro,Metanol,Mil ton,,0.0,,,,0.0,0.0
