Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Categoría INGEI
Cobre,Cobre,Coque de Petróleo,Mil ton,,12.330787,,,,0.004791149536549137,0.004778710186341,Industrias manufactureras y de la construcción
Cobre,Cobre,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Electricidad,Gwh,,22732.21623,,,,,,Industrias manufactureras y de la construcción
Cobre,Cobre,Coque Mineral,Mil ton,,0.189,,,,8.09059927284e-05,8.03823804e-05,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Gas Natural,Millones m3,,709.2273563,,,,0.14997074502075403,0.14982439249475202,Industrias manufactureras y de la construcción
Salitre,Salitre,Carbón,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Diésel,Mil m3,,675.8592154,,,,0.19974443565659786,0.19906262601445926,Industrias manufactureras y de la construcción
Salitre,Salitre,Petróleo Combustible,Mil ton,,5.10662555,,,,0.0015762024847841686,0.0015710508992772363,Industrias manufactureras y de la construcción
Salitre,Salitre,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Gas Licuado,Mil ton,,55.406868,,,,0.013176623922681797,0.013165190445084482,Industrias manufactureras y de la construcción
Salitre,Salitre,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Kerosene de Aviación,Mil m3,,97.327575,,,,0.027895724502414437,0.027660321625365,Industrias manufactureras y de la construcción
Salitre,Salitre,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Electricidad,Gwh,,214.7757129,,,,,,Industrias manufactureras y de la construcción
Salitre,Salitre,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gas Natural,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Carbón,Mil ton,,74.865,,,,0.029993018334384003,0.0281504438292,Industrias manufactureras y de la construcción
Hierro,Hierro,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Diésel,Mil m3,,589.251987,,,,0.1741484068293492,0.17355396692643518,Industrias manufactureras y de la construcción
Hierro,Hierro,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Electricidad,Gwh,,563.41954,,,,,,Industrias manufactureras y de la construcción
Hierro,Hierro,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Hierro,Hierro,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gas Natural,Millones m3,,1315.393223,,,,0.2781484666323507,0.2778770288216657,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Carbón,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Biomasa,Mil ton,,9641.140266,,,,0.33309138483024775,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Diésel,Mil m3,,206.4035691,,,,0.061000817164247385,0.06079259636858818,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Petróleo Combustible,Mil ton,,2249.163105,,,,0.6942229149317353,0.6919539496549596,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gas Licuado,Mil ton,,135.3485602,,,,0.03218801460194171,0.03216008476604347,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Electricidad,Gwh,,4799.42757,,,,,,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Papel y Celulosa,Papel y Celulosa,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gas Natural,Millones m3,,204.6798864,,,,0.04328089544417832,0.04323865875078183,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Carbón,Mil ton,,16.03058367,,,,0.00642230134141704,0.006027757231705413,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Diésel,Mil m3,,90.80591184,,,,0.026836913962960188,0.02674530857407893,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Kerosene,Mil m3,,0.1411587,,,,4.048388098971688e-05,4.0341479494643994e-05,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gas Licuado,Mil ton,,15.38919081,,,,0.0036597914139048773,0.0036566157792819825,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Coque de Petróleo,Mil ton,,37.5817467,,,,0.014602455486775663,0.014564542861358097,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Electricidad,Gwh,,600.1973791,,,,,,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gas Coque,Mil m3,,588.641,,,,0.2507133266498046,0.2503511364076,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gas Altos Hornos,Mil m3,,69.59,,,,0.0681468672760992,0.06813250704,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Siderurgia,Siderurgia,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gas Natural,Millones m3,,21.62318199,,,,0.0045723627042213826,0.004567900655096618,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Carbón,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Diésel,Mil m3,,0.009156,,,,2.70597782970144e-06,2.69674121808e-06,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Electricidad,Gwh,,28.875016,,,,,,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Petroquímica,Petroquímica,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Gas Natural,Millones m3,,120.7664176,,,,0.025536845780238692,0.025511925040626816,Industrias manufactureras y de la construcción
Cemento,Cemento,Carbón,Mil ton,,122.871,,,,0.0492255680994336,0.04620147176568,Industrias manufactureras y de la construcción
Cemento,Cemento,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Diésel,Mil m3,,60.3182385,,,,0.017826541733032317,0.017765692438284183,Industrias manufactureras y de la construcción
Cemento,Cemento,Petróleo Combustible,Mil ton,,4.9244244,,,,0.0015199645831505675,0.001514996802936288,Industrias manufactureras y de la construcción
Cemento,Cemento,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Gas Licuado,Mil ton,,11.15369709,,,,0.0026525244470133255,0.002650222827188762,Industrias manufactureras y de la construcción
Cemento,Cemento,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Coque de Petróleo,Mil ton,,1805.990603,,,,0.7017209072361354,0.6998990162584289,Industrias manufactureras y de la construcción
Cemento,Cemento,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Electricidad,Gwh,,498.3245109,,,,,,Industrias manufactureras y de la construcción
Cemento,Cemento,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cemento,Cemento,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Gas Natural,Millones m3,,10.11250121,,,,0.002138354262586383,0.0021362674986126935,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Carbón,Mil ton,,370.41312,,,,0.14839788284854577,0.13928128936296957,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Diésel,Mil m3,,1.907951086,,,,0.0005638786958137599,0.0005619539466684905,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Petróleo Combustible,Mil ton,,6.0383715,,,,0.001863793628328575,0.00185770209355668,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Gas Licuado,Mil ton,,1.007972955,,,,0.00023971180887303106,0.0002395038087348588,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Azúcar,Azúcar,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
